Total: 120097632 samples
85163960  70.9%  70.9% 85163960  70.9% substr
13714328  11.4%  82.3% 16322880  13.6% Symfony\Component\ErrorHandler\DebugClassLoader::loadClass
    5232   0.0%  99.5%     5426   0.0% Symfony\Component\Dotenv\Dotenv::populate
    5176   0.0%  99.5%     5176   0.0% Doctrine\Common\Annotations\AnnotationReader::addGlobalIgnoredName
    5176   0.0%  99.5%     5176   0.0% Symfony\Component\Cache\Adapter\AbstractAdapter::getId
    4944   0.0%  99.5%     6080   0.0% Symfony\Bridge\Doctrine\ContainerAwareEventManager::addEventListener
    4824   0.0%  99.5%    29788   0.0% include /var/www/html/vendor/symfony/cache/Adapter/PhpFilesAdapter.php
    4752   0.0%  99.5%     4752   0.0% include_once /var/www/html/vendor/symfony/cache/Adapter/FilesystemAdapter.php
    4680   0.0%  99.6%     4680   0.0% explode
    4528   0.0%  99.6%   739448   0.6% App\Kernel::registerBundles
    4480   0.0%  99.6%    86912   0.1% include /var/www/html/src/Command/BooksScanCommand.php
    4424   0.0%  99.6%   186672   0.2% Doctrine\Common\Annotations\PsrCachedReader::getPropertyAnnotations
    4400   0.0%  99.6% 89811793  74.8% Kiwilan\Ebook\Ebook::parseFile
    4400   0.0%  99.6%  1015948   0.8% Symfony\Bridge\Doctrine\ContainerAwareEventManager::initializeListeners
    4384   0.0%  99.6%     4504   0.0% Symfony\Component\Finder\Iterator\RecursiveDirectoryIterator::current
    4352   0.0%  99.6%    17844   0.0% Doctrine\Persistence\Mapping\RuntimeReflectionService::getAccessibleProperty
    4304   0.0%  99.6%   554128   0.5% Symfony\Component\Runtime\Internal\SymfonyErrorHandler::register
    4200   0.0%  99.6%     4328   0.0% Symfony\Component\Console\Input\InputDefinition::addOption
    4168   0.0%  99.6%   184200   0.2% include /var/www/html/vendor/symfony/framework-bundle/Console/Application.php
    4048   0.0%  99.6%   259016   0.2% include /var/www/html/src/Kernel.php
    4016   0.0%  99.6%     4016   0.0% include_once /var/www/html/vendor/symfony/monolog-bridge/Logger.php
    4008   0.0%  99.6%     4008   0.0% Doctrine\ORM\Query\ResultSetMapping::addFieldResult
    3992   0.0%  99.6%    20391   0.0% include /var/www/html/vendor/symfony/finder/Iterator/RecursiveDirectoryIterator.php
    3936   0.0%  99.6%     5016   0.0% Doctrine\ORM\Mapping\ClassMetadataInfo::_validateAndCompleteManyToManyMapping
    3912   0.0%  99.6%   112388   0.1% unserialize
    3888   0.0%  99.6%   333808   0.3% Kiwilan\XmlReader\XmlConverter::make
    3880   0.0%  99.6%     3880   0.0% ContainerOAfV6Q6\getTypesense_DocumentManagerService::do
    3840   0.0%  99.6%     5120   0.0% Doctrine\ORM\UnitOfWork::registerManaged
    3808   0.0%  99.6%   172648   0.1% include /var/www/html/vendor/symfony/cache/Adapter/ApcuAdapter.php
    3592   0.0%  99.6%     3592   0.0% preg_replace
    3576   0.0%  99.6%    88798   0.1% Symfony\Component\ErrorHandler\ErrorHandler::setLoggers
    3544   0.0%  99.6%     8104   0.0% Symfony\Component\VarExporter\Internal\LazyObjectRegistry::getClassResetters
    3464   0.0%  99.6%    59280   0.0% include /var/www/html/vendor/symfony/http-client/Response/CurlResponse.php
    3448   0.0%  99.6%     3448   0.0% Symfony\Component\Console\Helper\ProgressBar::initPlaceholderFormatters
    3384   0.0%  99.6%   202628   0.2% include /var/www/html/vendor/doctrine/doctrine-bundle/Mapping/ClassMetadataFactory.php
    3384   0.0%  99.6%    55984   0.0% include /var/www/html/vendor/doctrine/orm/lib/Doctrine/ORM/Mapping/ClassMetadataFactory.php
    3376   0.0%  99.6%    53868   0.0% include /var/www/html/vendor/kiwilan/php-archive/src/Readers/ArchiveZip.php
    3344   0.0%  99.6%    78912   0.1% include /var/www/html/vendor/smalot/pdfparser/src/Smalot/PdfParser/Font.php
    3328   0.0%  99.6%     7784   0.0% Gedmo\Sluggable\Mapping\Driver\Annotation::retrieveSlug
    3328   0.0%  99.7%     3328   0.0% Smalot\PdfParser\Element\ElementArray::resolveXRef
